area_type,availability,location,society,bhk,sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1160,2,2,42
Super built-up  Area,Ready To Move,Old Madras Road,,2,1160,2,1,42
Built-up  Area,Ready To Move,R.T. Nagar,,3,1380,2,1,50
Super built-up  Area,Ready To Move,Marathahalli,Afncyad,3,1600,3,3,58
Built-up  Area,Ready To Move,KR Puram,,2,1100,2,1,39.9
Built-up  Area,Ready To Move,Jalahalli West,Caiseha,2,1020,2,1,37
Super built-up  Area,18-Mar,Hosa Road,Akvam P,2,1004,2,0,36.43
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1185,2,2,43
Built-up  Area,Ready To Move,Kaggadasapura,Frowsru,2,1240,2,3,45
Super built-up  Area,Ready To Move,Hennur Road,,2,1350,2,3,49
Super built-up  Area,Ready To Move,Sonnenahalli,DSgam S,2,1157,2,1,42
Super built-up  Area,Ready To Move,Electronic City,Elodsre,2,1156,2,2,42
Built-up  Area,Ready To Move,Begur Road,,3,1600,3,2,58.14
Super built-up  Area,18-Aug,4th Phase JP Nagar,,2,1070,2,2,38.9
Built-up  Area,Ready To Move,Gottigere,,2,1100,2,2,40
Built-up  Area,Ready To Move,Gottigere,,2,1100,2,2,40
Built-up  Area,Ready To Move,Kothannur,,2,1100,2,2,40
Super built-up  Area,Ready To Move,Electronic City,DSgmax ,2,1100,2,1,40
Super built-up  Area,Ready To Move,Sultan Palaya,HintsAp,2,1100,2,2,40
Built-up  Area,Ready To Move,Chikkalasandra,Siourpl,3,1375,2,1,50
Super built-up  Area,Ready To Move,Whitefield,JahanSa,3,1430,3,2,52
Super built-up  Area,Ready To Move,Whitefield,UKkente,3,1650,3,2,60
Super built-up  Area,Ready To Move,Sultan Palaya,RSntsAp,4,2200,3,3,80
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,DwntsAp,3,1510,2,2,55
Super built-up  Area,Ready To Move,Akshaya Vana,Daganva,2,1427,2,2,52
Super built-up  Area,18-Jul,Anjanapura,,2,1070,2,2,39
Super built-up  Area,18-Aug,5th Phase JP Nagar,,2,1070,2,2,39
Super built-up  Area,Ready To Move,Kammasandra,Prncy R,2,1015,2,2,37
Built-up  Area,Ready To Move,Ramamurthy Nagar,JHk 1en,2,960,2,2,35
Super built-up  Area,Ready To Move,Glass Factory Layout,SVhyaga,2,1152,2,1,42
Super built-up  Area,Ready To Move,Uttarahalli,Aklia R,3,1590,3,2,58
Super built-up  Area,Ready To Move,Chikkadunnasandra,Krz 2 Q,3,1398,3,0,51
Super built-up  Area,Ready To Move,Bellandur,Sririth,2,1096,2,2,40
Super built-up  Area,Ready To Move,Kanakpura Road,,2,1005,2,1,36.68
Super built-up  Area,Ready To Move,KR Puram,Apntsal,2,1150,2,1,42
Super built-up  Area,Ready To Move,Kaggadasapura,AnaveEn,2,1150,2,3,42
Super built-up  Area,Ready To Move,Horamavu Agara,Maows M,2,1150,2,1,42
Built-up  Area,Ready To Move,Green View Layout,DSeme S,2,1150,2,1,42
Super built-up  Area,Ready To Move,Kadugodi,MSingco,2,1150,2,2,42
Built-up  Area,Ready To Move,Brookefield,ARnts A,2,1588,2,3,58
Super built-up  Area,Ready To Move,Whitefield,Krine C,2,1232,2,2,45
Built-up  Area,Ready To Move,Nelamangala,,2,1095,2,0,40
Built-up  Area,Ready To Move,Nelamangala,V2gesre,4,2600,3,1,95
Super built-up  Area,Ready To Move,Kadugodi,InadeAr,3,1614,2,2,59
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1220,2,1,44.6
Built-up  Area,Ready To Move,Kengeri,Sravema,2,1230,2,2,45
Super built-up  Area,Ready To Move,Harappanahalli,,2,1311,2,2,48
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,Mauner ,2,996,2,2,36.5
Super built-up  Area,Ready To Move,Horamavu Agara,Honcyju,3,1364,2,3,50
Built-up  Area,Ready To Move,Bommanahalli,Alarke ,2,1091,2,1,40
Built-up  Area,Ready To Move,Doddabidrakallu,Lants A,2,900,2,1,33
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,44
Super built-up  Area,Ready To Move,Manayata Tech Park,,2,1200,3,2,44
Super built-up  Area,Ready To Move,Uttarahalli,,2,1200,2,2,44
Super built-up  Area,17-Feb,Sarjapur  Road,MJinele,3,1200,2,2,44
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,44
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1500,2,3,55
Super built-up  Area,Ready To Move,8th Phase JP Nagar,Yaenti ,3,1500,2,3,55
Super built-up  Area,Ready To Move,MS Pallya,,4,2400,4,1,88
Super built-up  Area,Ready To Move,HSR Layout,SrisePo,3,2400,3,3,88
Built-up  Area,Ready To Move,Thanisandra,,6,2999.97,6,0,110
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1185,2,2,43.5
Super built-up  Area,17-Aug,Babusapalaya,ARngsd ,2,1061,2,1,38.95
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1185,2,2,43.51
Super built-up  Area,Ready To Move,Bommasandra,TCncyn ,2,1089,2,1,40
Super built-up  Area,Ready To Move,Hoodi,Siiewag,2,1225,2,1,45
Built-up  Area,Ready To Move,Ananth Nagar,VmlleRo,3,1470,3,2,54
Super built-up  Area,Ready To Move,Sarjapur  Road,DSlesSp,2,1034,2,1,38
Super built-up  Area,18-Dec,Electronic City,S2oveat,3,1225,3,0,45.03
Built-up  Area,Ready To Move,Chikkalasandra,SurtsCo,2,1224,2,2,45
Super built-up  Area,Ready To Move,Nagarbhavi,DSesthr,3,1523,2,2,56
Super built-up  Area,18-Jul,Ramagondanahalli,ViistLa,2,1251,2,1,46
Super built-up  Area,Ready To Move,Addischetan Layout,Malyxer,3,1495,3,2,55
Super built-up  Area,18-Oct,Electronic City Phase II,SRhtsa ,2,888,2,0,32.67
Super built-up  Area,19-Dec,Sarjapur  Road,Daivon ,3,1403,3,3,51.63
Super built-up  Area,19-Dec,Sarjapur  Road,Daivon ,3,1403,3,3,51.63
Super built-up  Area,Ready To Move,Anandapura,ViensRK,3,1576,3,2,58
Super built-up  Area,Ready To Move,Sree Narayana Nagar,Sholaya,3,1358,3,3,50
Super built-up  Area,Ready To Move,Gunjur,Puide P,2,1195,2,2,44
Super built-up  Area,Ready To Move,Arekere,Amngsag,2,1222,2,2,45
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1265,2,2,46.6
Super built-up  Area,Ready To Move,Bellandur,Sririth,2,950,2,2,35
Built-up  Area,Ready To Move,Sarjapur,Sondaka,2,950,2,2,35
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1140,2,2,42
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1140,2,1,42
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,,3,1330,2,1,49
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1185,2,2,43.66
Super built-up  Area,Ready To Move,Varthur,Maine J,2,977,2,2,36
Super built-up  Area,18-Aug,Vimanapura,,2,1275,2,2,47
Super built-up  Area,Ready To Move,Kaval Byrasandra,DencyRe,2,1125,2,1,41.5
Plot  Area,Ready To Move,Lakkasandra,,9,4500,9,,166
Super built-up  Area,Ready To Move,Battarahalli,,2,1165,2,1,43
Super built-up  Area,Ready To Move,Electronic City,PrwarSa,2,921,2,1,34
Super built-up  Area,18-Jul,Ramagondanahalli,ViistLa,2,1151,2,2,42.5
Super built-up  Area,Ready To Move,Akshaya Nagar,Madgeer,3,1435,3,3,53
Super built-up  Area,Ready To Move,Mylasandra,Laowsba,2,1110,2,2,41
Super built-up  Area,18-Mar,Bommasandra,SSestth,2,955,2,1,35.28
Super built-up  Area,Ready To Move,Kanakpura Road,,3,1450,3,3,53.6
Super built-up  Area,Ready To Move,Hulimavu,,3,1758,3,2,65
Super built-up  Area,Ready To Move,Electronic City,Itvir M,2,919,2,2,34
Super built-up  Area,19-Dec,Electronic City Phase II,Coomee ,2,1056,2,1,39.07
Super built-up  Area,19-Dec,Electronic City Phase II,Coomee ,2,1056,2,1,39.07
Super built-up  Area,Ready To Move,Electronic City,SraveSL,2,1096,2,2,40.55
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1160,2,2,42.92
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,44.4
Super built-up  Area,Ready To Move,Kudlu Gate,,2,1200,2,1,44.4
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,44.4
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1260,2,2,46.62
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1410,2,3,52.17
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1410,2,3,52.17
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1240,2,2,45.88
Super built-up  Area,18-Aug,Uttarahalli,DSera S,3,1845,2,1,68.27
Super built-up  Area,18-May,Electronic City Phase II,Coomee ,3,1418,3,2,52.47
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1615,3,2,59.76
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1565,2,2,57.91
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1565,2,2,57.91
Super built-up  Area,Ready To Move,Kudlu Gate,,2,1215,2,1,44.96
Super built-up  Area,Ready To Move,Gunjur,Akncyes,2,1175,2,2,43.48
Super built-up  Area,Ready To Move,KR Puram,Jahidva,2,1155,2,2,42.74
Super built-up  Area,Ready To Move,Anekal,Sraveks,2,1035,2,2,38.3
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,1,46
Super built-up  Area,Ready To Move,Haralur Road,,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,1,46
Super built-up  Area,Ready To Move,Haralur Road,,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1243,2,2,46
Super built-up  Area,Ready To Move,RMV Extension,Reion M,3,1675,3,3,62
Super built-up  Area,Ready To Move,NRI Layout,,3,1731,3,3,64.11
Super built-up  Area,Ready To Move,Hoskote,Deiveer,2,945,2,1,35
Super built-up  Area,Ready To Move,Kudlu Gate,,2,1215,2,1,45
Plot  Area,Ready To Move,Hebbal,,4,2700,2,2,100
Super built-up  Area,Ready To Move,Sarjapur  Road,Ascid P,2,944,2,1,35
Plot  Area,Ready To Move,Kirloskar Layout,,4,2400,4,2,89
Super built-up  Area,18-Aug,Banjara Layout,,3,1294,2,2,48
Super built-up  Area,18-Apr,Gaurava Nagar,,3,1240,2,2,46
Super built-up  Area,Ready To Move,Kaggadasapura,Binorn ,2,1132,2,2,42
Super built-up  Area,Ready To Move,Sarjapur  Road,Shthi S,2,970,2,1,36
Built-up  Area,Ready To Move,Sarjapur  Road,MJinele,3,1374,3,2,51
Built-up  Area,Ready To Move,HSR Layout,,3,2424,3,2,90
Built-up  Area,Ready To Move,Chandapura,MRowsea,4,1782,,,66.165
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1185,2,2,44
Super built-up  Area,18-Jul,9th Phase JP Nagar,,2,1050,2,2,39
Built-up  Area,Ready To Move,Electronic City,KBityo ,3,1050,2,1,39
Super built-up  Area,Ready To Move,Begur Road,,3,1615,3,2,60
Super built-up  Area,Ready To Move,Old Madras Road,JJr 2e ,2,1211,2,3,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,,2,1210,2,2,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,i1rtsCo,3,1630,3,2,60.65
Super built-up  Area,Ready To Move,Uttarahalli,,2,1075,2,1,40
Built-up  Area,Ready To Move,Vibuthipura,,4,2150,4,1,80
Super built-up  Area,Ready To Move,Chikkadunnasandra,Kr 10Ca,3,1397,2,,52
Super built-up  Area,Ready To Move,Kammasandra,Saineiv,2,940,2,2,35
Super built-up  Area,Ready To Move,Bellandur,,2,1262,2,2,47
Super built-up  Area,Ready To Move,Anandapura,ViensRK,3,1576,3,2,58.7
Built-up  Area,Ready To Move,Doddathoguru,Srtasno,3,1208,3,1,45
Super built-up  Area,Ready To Move,Chandapura,Vailsaf,3,1208,3,1,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,3,1530,3,2,57
Super built-up  Area,Ready To Move,Banashankari Stage V,,3,1315,2,2,49
Super built-up  Area,Ready To Move,Anandapura,ViensRK,2,1151,2,1,42.9
Super built-up  Area,Ready To Move,Electronic City,Music C,2,1100,2,1,41
Super built-up  Area,Ready To Move,Vidyaranyapura,DSestil,2,1100,2,1,41
Built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,44.73
Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,3,1475,2,2,55
Super built-up  Area,Ready To Move,Mahadevpura,3Codeli,2,1475,2,2,55
Super built-up  Area,Ready To Move,Hennur Road,AdestAs,2,1153,2,1,43
Super built-up  Area,Ready To Move,Sadaramangala,Maletr ,2,1394,2,3,52
Super built-up  Area,Ready To Move,Seegehalli,,3,1150,2,2,42.9
Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,3,1635,3,1,61
Super built-up  Area,18-May,Whitefield,SMuilan,2,1130,2,1,42.16
Super built-up  Area,Ready To Move,Uttarahalli,,2,938,2,0,35
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,3,1452,3,3,54.2
Super built-up  Area,Ready To Move,Dodda Banaswadi,,3,1500,3,2,56
Super built-up  Area,Ready To Move,Ananth Nagar,Patri M,2,937,2,1,35
Built-up  Area,Ready To Move,Hebbal,Srntsha,2,1204,2,2,45
Super built-up  Area,Ready To Move,Seegehalli,,2,1096,2,1,41
Super built-up  Area,Ready To Move,Dodda Nekkundi,,2,1100,2,1,41.15
Super built-up  Area,18-May,Whitefield,SMuilan,2,1109,2,1,41.49
Super built-up  Area,Ready To Move,VGP Layout,Vaurtar,2,1176,2,2,44
Plot  Area,Ready To Move,Chikka Tirupathi,,3,2646,3,,99
Super built-up  Area,Ready To Move,Dodda Nekkundi,,2,1100,2,1,41.16
Super built-up  Area,Ready To Move,Whitefield,SMuilan,2,1105,2,1,41.36
Super built-up  Area,Ready To Move,Kada Agrahara,,2,935,2,2,35
Super built-up  Area,19-Aug,Hormavu,,2,1130,2,1,42.3
Super built-up  Area,Ready To Move,Dodda Nekkundi,,2,1100,2,1,41.18
Super built-up  Area,Ready To Move,Anandapura,ViensRK,2,1151,2,1,43.1
Super built-up  Area,Ready To Move,Kanakpura Road,,3,1450,3,3,54.3
Super built-up  Area,18-Jul,Ramagondanahalli,ViistLa,2,1215,2,1,45.5
Super built-up  Area,19-Aug,Hormavu,,2,1196,2,1,44.8
Super built-up  Area,Ready To Move,Anandapura,ViensRK,2,1141,2,1,42.75
Super built-up  Area,Ready To Move,Horamavu Agara,Maows M,2,1107.83,2,1,41.51
Super built-up  Area,Ready To Move,Horamavu Agara,Maows M,2,1107.83,2,1,41.51
Super built-up  Area,Ready To Move,Horamavu Banaswadi,Asorai ,2,1254,2,2,47
Built-up  Area,Ready To Move,HSR Layout,,2,1467,2,1,55
Super built-up  Area,19-Sep,Hormavu,,3,1553,2,2,58.23
Super built-up  Area,17-Jul,Anandapura,ViensRK,2,1151,2,1,43.16
Super built-up  Area,17-Jul,Anandapura,ViensRK,2,1167,2,1,43.76
Super built-up  Area,19-Jul,Hormavu,,2,1263,2,1,47.36
Built-up  Area,19-Mar,NR Colony,GKncysi,2,1068,2,1,40.05
Plot  Area,Ready To Move,Bommasandra Industrial Area,,2,1200,3,0,45
Super built-up  Area,Ready To Move,Chikkadunnasandra,Kr 10Ca,2,1200,2,2,45
Super built-up  Area,Ready To Move,Bellandur,,2,1200,2,3,45
Super built-up  Area,Ready To Move,Nobo Nagar,VRaceer,2,1200,2,2,45
Super built-up  Area,Ready To Move,Begur Road,,2,1200,2,2,45
Built-up  Area,Ready To Move,Akshaya Nagar,,2,1200,2,2,45
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,45
Built-up  Area,Ready To Move,Hegganahalli,,1,1200,2,1,45
Built-up  Area,Ready To Move,Devi Nagar,Deiten ,2,1200,2,2,45
Plot  Area,18-Dec,Whitefield,,2,1200,2,1,45
Plot  Area,17-Dec,Whitefield,,2,1200,2,1,45
Super built-up  Area,Ready To Move,Horamavu Agara,,2,1200,2,1,45
Plot  Area,18-Aug,Whitefield,,2,1200,2,1,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,Bhave E,2,1200,2,1,45
Super built-up  Area,Ready To Move,R.T. Nagar,,2,1200,2,3,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,Bhave E,2,1200,2,1,45
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,45
Super built-up  Area,Ready To Move,Kalena Agrahara,,2,1200,2,2,45
Plot  Area,Ready To Move,Parappana Agrahara,,1,1200,1,0,45
Plot  Area,18-Aug,Whitefield,,2,1200,2,1,45
Built-up  Area,Ready To Move,Chennappa Layout,Mawerer,3,1280,2,1,48
Super built-up  Area,Ready To Move,Kalyan nagar,,2,1280,2,1,48
Super built-up  Area,17-Jul,Anandapura,ViensRK,3,1576,3,2,59.1
Super built-up  Area,Ready To Move,Hosa Road,Pamesy ,4,1708,3,0,64.05
Built-up  Area,Ready To Move,Kothanur,,3,1840,3,1,69
Built-up  Area,Ready To Move,Vishveshwarya Layout,,4,2000,4,1,75
Built-up  Area,Ready To Move,Kadugondanahalli,,5,2000,5,,75
Super built-up  Area,Ready To Move,KR Puram,,2,2000,2,0,75
Built-up  Area,Ready To Move,Kothanur,,6,4000,6,,150
Super built-up  Area,Ready To Move,Attur Layout,,7,4000,8,1,150
Plot  Area,18-Dec,Electronic City,Janaala,4,4000,5,1,150
Super built-up  Area,17-Jul,Anandapura,ViensRK,2,1141,2,1,42.79
Super built-up  Area,Ready To Move,Sarjapur,Sondaka,3,1333,3,1,50
Super built-up  Area,Ready To Move,Gunjur,Paestol,3,2132,3,3,80
Super built-up  Area,Ready To Move,Uttarahalli,Sagnage,2,1279,2,2,48
Super built-up  Area,Ready To Move,Nagavara,,3,1545,2,1,58
Super built-up  Area,Ready To Move,Banashankari Stage V,,3,1305,2,2,49
Super built-up  Area,Ready To Move,Whitefield,Satanan,2,1118,2,1,42
Super built-up  Area,Ready To Move,Bellandur,,2,1251,2,3,47
Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,2,1251,2,1,47
Super built-up  Area,Ready To Move,Hulimavu,MBrrySt,2,1011,2,2,38
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,3,1410,2,3,53
Built-up  Area,Ready To Move,Kaggadasapura,FoncyRe,3,1250,2,2,47
Super built-up  Area,Ready To Move,Varthur,,2,1250,2,2,47
Super built-up  Area,18-Dec,Ramamurthy Nagar,Vaharvi,2,1170,2,2,44
Super built-up  Area,Ready To Move,Ananth Nagar,,2,1010,2,2,38
Super built-up  Area,Ready To Move,Gunjur,DSoodSh,2,1063,2,2,40
Super built-up  Area,18-Mar,Whitefield,Pranthi,2,982,2,1,37
Super built-up  Area,Ready To Move,Tumkur Road,Mairer ,2,1035,2,1,39
Super built-up  Area,Ready To Move,Sarjapur  Road,Shthi S,3,1380,2,1,52
Super built-up  Area,18-May,Electronic City Phase II,MJtroty,3,1336,2,3,50.35
Super built-up  Area,Ready To Move,Parappana Agrahara,,2,1194,2,2,45
Super built-up  Area,Ready To Move,Akshaya Vana,Rainet ,3,1300,2,1,49
Built-up  Area,Ready To Move,Sarjapur  Road,Saacesa,4,2600,4,,98
Super built-up  Area,Ready To Move,Varthur,DSingSt,2,1111,2,2,41.88
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1220,2,2,46
Super built-up  Area,Ready To Move,Pattandur Agrahara,Shvarji,2,875,2,1,33
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1140,2,2,43
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1140,2,2,43
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1140,2,2,43
Super built-up  Area,18-Apr,Gunjur,BMineis,2,1140,2,3,43
Super built-up  Area,Ready To Move,Mico Layout,Inasy E,2,1140,2,2,43
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,2,1140,2,2,43
Super built-up  Area,Ready To Move,Dommasandra,,2,1153,2,2,43.5
Super built-up  Area,Ready To Move,Malleshpalya,,2,1060,2,1,40
Super built-up  Area,Ready To Move,Yelahanka,,2,1060,2,1,40
Super built-up  Area,Ready To Move,Horamavu Banaswadi,,2,1272,2,2,48
Super built-up  Area,Ready To Move,Kaggadasapura,JaaldEm,2,1325,2,2,50
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",,4,2000,4,1,75.5
Built-up  Area,Ready To Move,Nagavarapalya,,2,980,2,0,37
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,3,1430,2,2,54
Built-up  Area,Ready To Move,Marathahalli,Bintsee,3,2489,3,,94
Built-up  Area,Ready To Move,Bannerghatta Road,,3,1350,2,,51
Plot  Area,Ready To Move,Anekal,,3,1800,3,2,68
Built-up  Area,Ready To Move,JP Nagar,,6,1800,6,0,68
Plot  Area,Ready To Move,MS Pallya,,5,1800,4,1,68
Super built-up  Area,Ready To Move,Whitefield,Suent V,3,1985,3,2,75
Super built-up  Area,Ready To Move,BTM 4th Stage,,3,1455,2,2,55
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,Pantsce,3,1455,2,2,55
Super built-up  Area,Ready To Move,Electronic City,Elodsre,3,1521,2,2,57.5
Super built-up  Area,Ready To Move,Kalkere,Sothin ,2,925,2,2,35
Super built-up  Area,Ready To Move,Whitefield,,2,925,2,1,35
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,3,1430,2,2,54.11
Built-up  Area,Ready To Move,Kasavanhalli,,2,1189,2,1,45
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,Pantsce,3,1400,3,2,53
Built-up  Area,Ready To Move,Sarjapur  Road,Amionce,2,1043,2,1,39.5
Super built-up  Area,Ready To Move,Kengeri,,2,1320,2,1,50
Super built-up  Area,Ready To Move,Kudlu Gate,ACiteda,3,1320,2,2,50
Built-up  Area,Ready To Move,Bannerghatta,Srentea,2,1320,2,0,50
Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,2,1151,2,2,43.6
Super built-up  Area,Ready To Move,Battarahalli,Sancy L,2,1135,2,3,43
Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,2,1251,2,1,47.4
Super built-up  Area,Ready To Move,Thanisandra,SaSkyBl,2,1148,2,1,43.5
Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,2,1235,2,1,46.8
Built-up  Area,Ready To Move,Chikkalasandra,Siourpl,3,1425,1,0,54
Super built-up  Area,Ready To Move,Doddakannelli,BMtusLo,2,1187,2,2,45
Super built-up  Area,18-Jul,Ramagondanahalli,ViistLa,3,1635,3,1,62
Built-up  Area,Ready To Move,Varthur,HioraTr,2,1160,2,2,44
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1160,2,2,44
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1160,2,2,44
Super built-up  Area,Ready To Move,JP Nagar,DSillto,3,1450,2,2,55
Super built-up  Area,Ready To Move,Suddaguntepalya,MSanaer,3,1450,3,2,55
Super built-up  Area,Ready To Move,Kanakpura Road,JRrnauv,3,1450,3,3,55
Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,2,1215,2,1,46.1
Super built-up  Area,18-Jun,Bannerghatta,,2,1120,2,1,42.5
Super built-up  Area,Ready To Move,Kundalahalli,Vangsld,2,1291,2,3,49
Super built-up  Area,Ready To Move,Gunjur,Akncyes,2,1080,2,2,41
Super built-up  Area,Ready To Move,Bellandur,,2,982,2,2,37.28
Super built-up  Area,Ready To Move,Yelahanka,BKideor,2,1185,2,2,45
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,2,1185,2,2,45
Built-up  Area,Ready To Move,Uttarahalli,Sungspr,3,1580,3,1,60
Super built-up  Area,18-Dec,Sarjapur,Kinuerg,2,1145,2,0,43.49
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,2,1036,2,3,39.35
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,3,1282,2,2,48.7
Super built-up  Area,Ready To Move,Bellandur,,2,924,2,2,35.11
Super built-up  Area,Ready To Move,Bellandur,,2,924,2,2,35.11
Super built-up  Area,Ready To Move,Bellandur,,2,924,2,2,35.11
Super built-up  Area,17-Nov,Channasandra,Unm 2El,2,1009,2,1,38.34
Super built-up  Area,18-Dec,Horamavu Agara,,2,1079,2,2,41
Super built-up  Area,19-Apr,Sarjapur,CLdiaAr,3,1404,2,0,53.35
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,2,935,2,1,35.53
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,2,990,2,2,37.62
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Shncyes,2,1000,2,1,38
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Shncyes,2,1000,2,1,38
Built-up  Area,Ready To Move,Akshaya Nagar,,2,1000,2,1,38
Super built-up  Area,Ready To Move,7th Phase JP Nagar,,2,1035,2,1,39.33
Super built-up  Area,Ready To Move,8th Phase JP Nagar,,2,1035,2,1,39.33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,,2,1035,2,1,39.33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,,2,1035,2,1,39.33
Super built-up  Area,17-Jul,Channasandra,Unm 2El,2,1065,2,1,40.47
Super built-up  Area,18-Aug,Hosakerehalli,Maunt M,2,1085,2,1,41.23
Super built-up  Area,Ready To Move,KR Puram,LVniaar,2,1140,2,1,43.32
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1160,2,2,44.08
Super built-up  Area,Ready To Move,Yelenahalli,,2,1160,2,2,44.08
Super built-up  Area,Ready To Move,Yelenahalli,,2,1200,2,2,45.6
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,2,1200,2,2,45.6
Super built-up  Area,Ready To Move,KR Puram,LVniaar,2,1205,2,1,45.79
Super built-up  Area,Ready To Move,Yelahanka,Pyikad ,2,1210,2,1,45.98
Super built-up  Area,Ready To Move,KR Puram,LVniaar,2,1225,2,1,46.55
Super built-up  Area,Ready To Move,Yelenahalli,,2,1240,2,2,47.12
Super built-up  Area,Ready To Move,Yelenahalli,,2,1260,2,2,47.88
Super built-up  Area,Ready To Move,KR Puram,LVniaar,2,1290,2,1,49.02
Super built-up  Area,18-Aug,Hosakerehalli,Maunt M,3,1410,2,2,53.58
